Last Name/Surname	Total1	Asian and Pacific Islander2	Percentage3	Rank4	U.S. Rank5
ANJUM	812	749	92.24%	1,702	29,171
KAUSHIK	795	749	94.21%	1,703	29,626
GATCHALIAN	810	749	92.47%	1,704	29,231
CERVANTES	82,161	748	0.91%	1,705	387
DANIELS	146,570	748	0.51%	1,706	187
WEAVER	143,837	748	0.52%	1,707	192
GOROSPE	1,059	748	70.63%	1,708	23,852
TSERING	790	746	94.43%	1,709	29,768
WOODS	177,425	745	0.42%	1,710	144
BERRY	132,812	744	0.56%	1,711	222
MEHROTRA	793	744	93.82%	1,712	29,693
DELMUNDO	806	744	92.31%	1,713	29,334
VINCENT	53,095	743	1.40%	1,714	641
SADIQ	1,279	743	58.09%	1,715	20,687
ALEJANDRO	7,770	742	9.55%	1,716	4,563
VILLAREAL	9,614	741	7.71%	1,717	3,693
GRANT	142,277	740	0.52%	1,718	196
CARPENTER	129,898	740	0.57%	1,719	231
TSAN	825	740	89.70%	1,720	28,829
SREY	794	739	93.07%	1,721	29,661
MORRISON	121,130	739	0.61%	1,722	250
OHARA	21,710	738	3.40%	1,723	1,660
SAEPHANH	762	738	96.85%	1,724	30,600
TECSON	837	737	88.05%	1,725	28,498
LEO	8,039	737	9.17%	1,726	4,423
NIJJAR	776	736	94.85%	1,727	30,202
SODHI	812	736	90.64%	1,728	29,171
BUKHARI	907	736	81.15%	1,729	26,814
PIERCE	138,629	735	0.53%	1,730	202
POKHREL	777	735	94.59%	1,731	30,165
HUQ	812	735	90.52%	1,732	29,171
CAM	1,300	735	56.54%	1,733	20,434
AGUILA	6,103	734	12.03%	1,734	5,683
KRISHNAMOORTHY	752	733	97.47%	1,735	30,916
ELLIOTT	135,765	733	0.54%	1,736	210
MAYO	35,228	733	2.08%	1,737	989
SATTAR	958	732	76.41%	1,738	25,725
TEA	1,146	731	63.79%	1,739	22,450
RANGANATHAN	755	731	96.82%	1,740	30,825
OZA	804	730	90.80%	1,741	29,403
SALINAS	81,156	730	0.90%	1,742	393
AUSTIN	119,706	730	0.61%	1,743	253
MONTEMAYOR	8,106	729	8.99%	1,744	4,386
CHAPMAN	127,939	729	0.57%	1,745	236
SOONG	889	729	82.00%	1,746	27,204
KAWAGUCHI	957	728	76.07%	1,747	25,751
AKIYAMA	929	728	78.36%	1,748	26,282
HSIUNG	767	728	94.92%	1,749	30,442
KODAMA	950	726	76.42%	1,750	25,889
CONG	861	726	84.32%	1,751	27,869
GHANI	1,179	726	61.58%	1,752	22,000
PANGELINAN	1,182	725	61.34%	1,753	21,960
NARASIMHAN	756	725	95.90%	1,754	30,799
BALUYOT	771	725	94.03%	1,755	30,339
DAYRIT	782	725	92.71%	1,756	30,013
MANGAT	794	725	91.31%	1,757	29,661
JENG	899	725	80.65%	1,758	26,975
FAROOQI	866	725	83.72%	1,759	27,756
LABRADOR	2,036	724	35.56%	1,760	14,617
YUM	781	724	92.70%	1,761	30,043
HIPOLITO	2,890	724	25.05%	1,762	11,007
JAISWAL	747	723	96.79%	1,763	31,068
MANALANG	789	722	91.51%	1,764	29,793
SIA	943	722	76.56%	1,765	26,008
OYAMA	962	721	74.95%	1,766	25,640
YADAO	1,018	721	70.83%	1,767	24,554
HEGDE	763	721	94.50%	1,768	30,570
JIAN	788	721	91.50%	1,769	29,822
NEPAL	796	721	90.58%	1,770	29,604
LIWANAG	819	720	87.91%	1,771	28,998
GUNAWAN	771	720	93.39%	1,772	30,339
VALERIO	13,482	720	5.34%	1,773	2,675
LEM	1,161	720	62.02%	1,774	22,216
CUNNINGHAM	135,718	719	0.53%	1,775	211
MAJEED	1,472	719	48.85%	1,776	18,676
GILANI	976	717	73.46%	1,777	25,356
UEDA	835	717	85.87%	1,778	28,552
JIWANI	772	717	92.88%	1,779	30,303
MEHMOOD	805	717	89.07%	1,780	29,366
STANLEY	96,867	717	0.74%	1,781	321
CONTRERAS	130,164	716	0.55%	1,782	229
YAMBAO	770	716	92.99%	1,783	30,367
ALBA	13,347	715	5.36%	1,784	2,699
IWATA	859	714	83.12%	1,785	27,918
RHO	824	714	86.65%	1,786	28,856
TSOU	786	714	90.84%	1,787	29,878
NGU	829	713	86.01%	1,788	28,729
TAK	824	713	86.53%	1,789	28,856
MURALI	746	713	95.58%	1,790	31,107
HALIM	1,352	713	52.74%	1,791	19,878
KALE	3,864	713	18.45%	1,792	8,518
DARJI	762	712	93.44%	1,793	30,600
VITUG	806	712	88.34%	1,794	29,334
AREVALO	23,895	712	2.98%	1,795	1,499
KNIGHT	136,713	711	0.52%	1,796	209
BISHOP	116,618	711	0.61%	1,797	262
MAHESHWARI	741	711	95.95%	1,798	31,285
PONG	861	711	82.58%	1,799	27,869
CHHETRI	752	710	94.41%	1,800	30,916
GIRI	789	710	89.99%	1,801	29,793
SANDOVAL	128,948	709	0.55%	1,802	233
BASSI	1,666	709	42.56%	1,803	17,047
KONO	1,211	709	58.55%	1,804	21,553
ALVARADO	133,501	708	0.53%	1,805	219
ROMAN	72,918	707	0.97%	1,806	452
NONG	758	707	93.27%	1,807	30,735
FNU	762	706	92.65%	1,808	30,600
YOSHIKAWA	884	705	79.75%	1,809	27,331
PANGAN	853	704	82.53%	1,810	28,065
ALBERTO	6,528	704	10.78%	1,811	5,335
VICTORIA	6,989	703	10.06%	1,812	5,023
DUNCAN	135,187	703	0.52%	1,813	212
PRADO	23,436	703	3.00%	1,814	1,533
KIRK	54,394	702	1.29%	1,815	623
COLLADO	9,201	702	7.63%	1,816	3,851
CUNG	736	702	95.38%	1,817	31,453
VINH	749	702	93.72%	1,818	31,001
PROM	1,487	702	47.21%	1,819	18,550
PAR	1,052	701	66.63%	1,820	23,978
FUKUMOTO	833	701	84.15%	1,821	28,618
MAGAT	818	701	85.70%	1,822	29,019
DHINGRA	734	700	95.37%	1,823	31,516
JACOBS	118,614	700	0.59%	1,824	257
SOHAL	746	699	93.70%	1,825	31,107
SHAFI	981	699	71.25%	1,826	25,255
CHIM	882	699	79.25%	1,827	27,376
ALMAZAN	6,265	698	11.14%	1,828	5,549
POUDEL	738	698	94.58%	1,829	31,383
KADAKIA	721	697	96.67%	1,830	31,994
BE	1,146	697	60.82%	1,831	22,450
PERKINS	131,440	697	0.53%	1,832	223
COSTA	38,265	696	1.82%	1,833	904
MYUNG	721	696	96.53%	1,834	31,994
MUNSHI	766	695	90.73%	1,835	30,477
BARRERA	60,998	695	1.14%	1,836	550
ROSETE	1,838	695	37.81%	1,837	15,833
DAN	2,599	695	26.74%	1,838	12,012
BECK	93,786	694	0.74%	1,839	328
LYNCH	117,708	694	0.59%	1,840	259
SAHNI	772	693	89.77%	1,841	30,303
KHALIL	6,983	693	9.92%	1,842	5,024
SALLEE	6,929	693	10.00%	1,843	5,062
SOUZA	22,373	691	3.09%	1,844	1,601
SHON	913	691	75.68%	1,845	26,671
IBANEZ	8,614	690	8.01%	1,846	4,121
WEBER	109,433	689	0.63%	1,847	283
UYEHARA	860	689	80.12%	1,848	27,898
SHANMUGAM	721	689	95.56%	1,849	31,994
PRABHAKAR	749	688	91.86%	1,850	31,001
ALVI	780	688	88.21%	1,851	30,076
NOBLE	41,667	688	1.65%	1,852	829
VEA	1,123	688	61.26%	1,853	22,809
MAJID	1,200	688	57.33%	1,854	21,700
JAVAID	729	687	94.24%	1,855	31,689
BACCAM	802	687	85.66%	1,856	29,447
CHIEM	701	686	97.86%	1,857	32,750
TALWAR	784	686	87.50%	1,858	29,947
NITTA	1,439	686	47.67%	1,859	18,961
DIXON	159,480	686	0.43%	1,860	167
BAROT	772	685	88.73%	1,861	30,303
BUMANGLAG	804	684	85.07%	1,862	29,403
MONTGOMERY	115,953	684	0.59%	1,863	263
MALLARD	6,583	684	10.39%	1,864	5,289
RILEY	133,872	683	0.51%	1,865	217
WALSH	105,079	683	0.65%	1,866	295
SUGIYAMA	838	683	81.50%	1,867	28,465
KHOO	729	682	93.55%	1,868	31,689
KYI	724	681	94.06%	1,869	31,873
CHALLA	802	681	84.91%	1,870	29,447
DUQUE	8,058	681	8.45%	1,871	4,407
BENSON	86,081	680	0.79%	1,872	365
BURGOS	25,169	680	2.70%	1,873	1,411
MATSUURA	851	680	79.91%	1,874	28,131
OM	784	680	86.73%	1,875	29,947
ADRIANO	1,486	680	45.76%	1,876	18,561
REID	111,360	679	0.61%	1,877	275
PANNU	719	679	94.44%	1,878	32,079
ISHIHARA	839	679	80.93%	1,879	28,437
YOSHIMOTO	847	678	80.05%	1,880	28,241
VILLAR	5,530	678	12.26%	1,881	6,186
MATSUNAGA	819	678	82.78%	1,882	28,998
BADUA	839	677	80.69%	1,883	28,437
SANJOSE	1,027	676	65.82%	1,884	24,388
KAUSHAL	725	676	93.24%	1,885	31,824
FOK	726	676	93.11%	1,886	31,790
PULIDO	18,942	676	3.57%	1,887	1,894
DAVIDSON	103,930	676	0.65%	1,888	301
GASPAR	11,251	675	6.00%	1,889	3,210
TAKATA	899	675	75.08%	1,890	26,975
LAGMAN	880	675	76.70%	1,891	27,411
PAPA	6,005	674	11.22%	1,892	5,768
GONSALVES	8,494	673	7.92%	1,893	4,173
RATH	6,747	672	9.96%	1,894	5,178
USMAN	1,024	672	65.63%	1,895	24,446
JADHAV	689	672	97.53%	1,896	33,196
SUNDAR	801	672	83.90%	1,897	29,473
HAWKINS	139,751	671	0.48%	1,898	200
BARRETT	100,104	671	0.67%	1,899	314
ALBERT	32,507	670	2.06%	1,900	1,076
YANO	1,005	669	66.57%	1,901	24,787
VILLAMOR	1,050	669	63.71%	1,902	24,012
HUDA	903	667	73.86%	1,903	26,887
EUSEBIO	2,035	667	32.78%	1,904	14,624
ANDO	1,126	667	59.24%	1,905	22,749
HUSSAINI	966	666	68.94%	1,906	25,555
MUKAI	931	666	71.54%	1,907	26,243
KHOSLA	783	666	85.06%	1,908	29,986
FRANK	67,304	666	0.99%	1,909	499
BLAS	3,612	666	18.44%	1,910	9,045
RAFIQ	893	665	74.47%	1,911	27,110
PASHA	1,402	665	47.43%	1,912	19,306
HICKS	158,320	665	0.42%	1,913	170
STEPHENS	144,646	665	0.46%	1,914	190
HUNDAL	728	665	91.35%	1,915	31,724
HERR	11,980	664	5.54%	1,916	2,990
WILLIS	130,152	664	0.51%	1,917	230
SALONGA	724	663	91.57%	1,918	31,873
MANDAL	822	663	80.66%	1,919	28,909
THAMMAVONG	715	662	92.59%	1,920	32,236
SIHARATH	730	662	90.68%	1,921	31,656
SOH	757	662	87.45%	1,922	30,767
DER	980	662	67.55%	1,923	25,272
FULLER	110,116	661	0.60%	1,924	281
CORONEL	7,745	660	8.52%	1,925	4,582
HY	835	660	79.04%	1,926	28,552
ALLY	1,653	660	39.93%	1,927	17,142
AUGUSTINE	14,268	659	4.62%	1,928	2,536
PHONG	707	659	93.21%	1,929	32,524
KHIM	708	659	93.08%	1,930	32,485
MAM	741	659	88.93%	1,931	31,285
VIEN	1,031	659	63.92%	1,932	24,325
RAMPERSAUD	1,138	659	57.91%	1,933	22,573
SAKATA	851	658	77.32%	1,934	28,131
HOLMES	156,780	658	0.42%	1,935	171
OWENS	182,719	658	0.36%	1,936	140
TENORIO	8,629	658	7.63%	1,937	4,111
DHAMI	711	658	92.55%	1,938	32,365
MAJUMDAR	703	657	93.46%	1,939	32,676
BERNARDINO	3,111	657	21.12%	1,940	10,358
GADDAM	685	656	95.77%	1,941	33,343
TEJADA	14,903	656	4.40%	1,942	2,432
GIRON	15,786	655	4.15%	1,943	2,311
GILBERT	114,940	655	0.57%	1,944	268
ESTACIO	1,099	655	59.60%	1,945	23,205
CORREA	38,232	654	1.71%	1,946	905
CALMA	916	654	71.40%	1,947	26,598
SUMIDA	846	653	77.19%	1,948	28,263
HIGUCHI	825	653	79.15%	1,949	28,829
MON	1,198	653	54.51%	1,950	21,717
KOLLI	697	651	93.40%	1,951	32,900
SAHU	710	651	91.69%	1,952	32,396
DAYAL	786	651	82.82%	1,953	29,878
HEU	796	651	81.78%	1,954	29,604
FRANKLIN	120,621	651	0.54%	1,955	251
PANDA	817	650	79.56%	1,956	29,041
MARUYAMA	848	650	76.65%	1,957	28,215
PI	1,006	650	64.61%	1,958	24,762
NARAIN	1,029	649	63.07%	1,959	24,352
CARANDANG	702	649	92.45%	1,960	32,710
SRINIVAS	683	649	95.02%	1,961	33,410
MADRIAGA	813	648	79.70%	1,962	29,138
ALEGRE	2,022	647	32.00%	1,963	14,704
TAILOR	851	646	75.91%	1,964	28,131
HEE	1,157	646	55.83%	1,965	22,281
ABID	1,048	645	61.55%	1,966	24,049
MAREDIA	664	645	97.14%	1,967	34,185
JOAQUIN	3,559	644	18.09%	1,968	9,172
NAKANISHI	849	643	75.74%	1,969	28,176
NAGAI	761	643	84.49%	1,970	30,630
SAMAROO	1,471	643	43.71%	1,971	18,685
THOTA	667	643	96.40%	1,972	34,073
NAZ	744	642	86.29%	1,973	31,184
PAYNE	142,601	642	0.45%	1,974	195
LOUIS	23,738	641	2.70%	1,975	1,510
NAGRA	714	641	89.78%	1,976	32,268
KAMDAR	734	641	87.33%	1,977	31,516
KAR	974	640	65.71%	1,978	25,403
ADACHI	851	640	75.21%	1,979	28,131
DEE	6,275	640	10.20%	1,980	5,535
CHAUDRY	827	639	77.27%	1,981	28,777
ARAI	820	639	77.93%	1,982	28,967
DE	1,123	638	56.81%	1,983	22,809
KODALI	651	638	98.00%	1,984	34,707
KI	784	637	81.25%	1,985	29,947
SOTO	144,451	636	0.44%	1,986	191
SALAM	1,280	635	49.61%	1,987	20,676
BALL	66,059	634	0.96%	1,988	508
NAKAJIMA	710	634	89.30%	1,989	32,396
LAC	696	633	90.95%	1,990	32,935
DEMESA	821	633	77.10%	1,991	28,940
KOTA	904	633	70.02%	1,992	26,873
PYO	715	632	88.39%	1,993	32,236
DHANANI	729	632	86.69%	1,994	31,689
MIZUNO	761	632	83.05%	1,995	30,630
SESHADRI	677	631	93.21%	1,996	33,645
PHA	654	630	96.33%	1,997	34,574
SHEA	33,329	630	1.89%	1,998	1,048
SANPEDRO	1,263	630	49.88%	1,999	20,871
HING	980	629	64.18%	2,000	25,272
FINAU	786	629	80.03%	2,001	29,878
IRFAN	698	629	90.11%	2,002	32,865
RAWAL	692	628	90.75%	2,003	33,087
JENNINGS	89,700	628	0.70%	2,004	347
RAMASAMY	645	628	97.36%	2,005	34,967
GOPALAN	653	627	96.02%	2,006	34,618
OSMAN	9,908	627	6.33%	2,007	3,590
OLIVEROS	4,624	627	13.56%	2,008	7,217
SHINDE	670	626	93.43%	2,009	33,941
WHEELER	125,058	625	0.50%	2,010	243
MONTOYA	71,844	625	0.87%	2,011	459
PING	3,209	625	19.48%	2,012	10,036
RAHAMAN	1,148	625	54.44%	2,013	22,421
NOU	685	625	91.24%	2,014	33,343
CENTENO	14,510	624	4.30%	2,015	2,488
SORIA	14,477	624	4.31%	2,016	2,495
JARIWALA	656	624	95.12%	2,017	34,495
TUMMALA	646	624	96.59%	2,018	34,916
ARRIOLA	7,877	623	7.91%	2,019	4,503
CHAUDHURI	692	623	90.03%	2,020	33,087
FORONDA	1,054	623	59.11%	2,021	23,943
NEWMAN	101,931	622	0.61%	2,022	307
SANKARAN	671	622	92.70%	2,023	33,894
DOSANJH	651	621	95.39%	2,024	34,707
HUDSON	134,963	621	0.46%	2,025	214
BU	989	621	62.79%	2,026	25,102
SACHDEV	686	621	90.52%	2,027	33,316
YAMANAKA	765	620	81.05%	2,028	30,509
CARRILLO	91,129	620	0.68%	2,029	340
MORAN	88,615	620	0.70%	2,030	353
ESPEJO	2,769	620	22.39%	2,031	11,388
SHARIFF	974	620	63.66%	2,032	25,403
PANICKER	645	620	96.12%	2,033	34,967
SCHULTZ	104,888	619	0.59%	2,034	297
BELLO	16,915	619	3.66%	2,035	2,143
ILYAS	772	619	80.18%	2,036	30,303
SAMPATH	740	619	83.65%	2,037	31,329
ACOBA	718	619	86.21%	2,038	32,123
ZANG	2,103	619	29.43%	2,039	14,252
CHARLES	61,211	618	1.01%	2,040	548
SUON	668	618	92.51%	2,041	34,032
TIMSINA	627	618	98.56%	2,042	35,812
BIAN	709	617	87.02%	2,043	32,438
KOYAMA	795	616	77.48%	2,044	29,626
NOLASCO	11,609	616	5.31%	2,045	3,102
MORA	57,464	615	1.07%	2,046	583
CARIAGA	997	615	61.69%	2,047	24,934
HUM	1,029	614	59.67%	2,048	24,352
PAMINTUAN	673	614	91.23%	2,049	33,810
THIND	662	614	92.75%	2,050	34,272
HANDA	861	613	71.20%	2,051	27,869
CU	768	613	79.82%	2,052	30,420
HAI	815	612	75.09%	2,053	29,093
PAGADUAN	766	612	79.90%	2,054	30,477
YO	707	611	86.42%	2,055	32,524
RAJKUMAR	851	611	71.80%	2,056	28,131
MARCELINO	2,372	611	25.76%	2,057	12,948
UPADHYAYA	642	611	95.17%	2,058	35,096
HARPER	124,461	610	0.49%	2,059	245
AMIR	1,639	610	37.22%	2,060	17,274
RAMANI	728	610	83.79%	2,061	31,724
ARIAS	57,477	609	1.06%	2,062	581
MARZAN	1,310	609	46.49%	2,063	20,299
LIV	678	609	89.82%	2,064	33,596
NIGAM	641	609	95.01%	2,065	35,147
SANGALANG	680	608	89.41%	2,066	33,530
NEUPANE	642	608	94.70%	2,067	35,096
MATSUO	767	608	79.27%	2,068	30,442
IMPERIAL	1,576	608	38.58%	2,069	17,775
PAU	852	608	71.36%	2,070	28,100
POSADAS	3,554	607	17.08%	2,071	9,177
CORDOVA	45,305	607	1.34%	2,072	762
UN	724	607	83.84%	2,073	31,873
NINH	637	607	95.29%	2,074	35,345
EAPEN	646	606	93.81%	2,075	34,916
SEM	919	606	65.94%	2,076	26,534
SA	1,600	606	37.88%	2,077	17,572
TSUJI	724	605	83.56%	2,078	31,873
GREENE	126,101	605	0.48%	2,079	241
DEA	1,311	604	46.07%	2,080	20,285
VI	799	604	75.59%	2,081	29,528
HIRAI	749	604	80.64%	2,082	31,001
NOP	694	604	87.03%	2,083	32,994
CAPILI	685	603	88.03%	2,084	33,343
GARRIDO	8,605	603	7.01%	2,085	4,124
BRADLEY	136,720	602	0.44%	2,086	208
BONILLA	51,475	602	1.17%	2,087	664
TAKAGI	755	602	79.74%	2,088	30,825
NOGUCHI	739	602	81.46%	2,089	31,360
GHUMAN	656	602	91.77%	2,090	34,495
KOIRALA	624	602	96.47%	2,091	35,945
MADAMBA	733	601	81.99%	2,092	31,554
HARVEY	115,662	601	0.52%	2,093	266
RESURRECCION	735	600	81.63%	2,094	31,482
LUAN	704	599	85.09%	2,095	32,632
MALHI	693	599	86.44%	2,096	33,036
QADRI	724	598	82.60%	2,097	31,873
SCHNEIDER	101,290	598	0.59%	2,098	312
POWERS	91,970	598	0.65%	2,099	336
DESOUZA	6,639	598	9.01%	2,100	5,255
LOYOLA	3,508	598	17.05%	2,101	9,279
TANEJA	651	598	91.86%	2,102	34,707
HORIUCHI	767	597	77.84%	2,103	30,442
NAKAHARA	724	596	82.32%	2,104	31,873
YUSUF	4,003	596	14.89%	2,105	8,280
AGUON	1,012	596	58.89%	2,106	24,665
ARCILLA	700	594	84.86%	2,107	32,792
DEWAN	1,312	594	45.27%	2,108	20,274
CHEON	644	594	92.24%	2,109	35,016
RATHORE	640	594	92.81%	2,110	35,203
NAYYAR	639	593	92.80%	2,111	35,246
SANGHVI	636	593	93.24%	2,112	35,395
SELVARAJ	622	593	95.34%	2,113	36,048
PANT	929	593	63.83%	2,114	26,282
KAWAHARA	719	593	82.48%	2,115	32,079
BARKER	87,162	593	0.68%	2,116	360
MONTERO	17,314	592	3.42%	2,117	2,090
BABAR	726	592	81.54%	2,118	31,790
KHANDELWAL	620	592	95.48%	2,119	36,154
KAWANO	763	591	77.46%	2,120	30,570
LUN	713	591	82.89%	2,121	32,302
LAD	688	591	85.90%	2,122	33,241
DUA	763	590	77.33%	2,123	30,570
RAMNARINE	1,441	590	40.94%	2,124	18,939
FUJIOKA	735	589	80.14%	2,125	31,482
WELCH	108,987	589	0.54%	2,126	284
MASSEY	55,595	589	1.06%	2,127	610
GAY	32,025	589	1.84%	2,128	1,094
COHEN	89,091	588	0.66%	2,129	351
RAZON	1,080	588	54.44%	2,130	23,515
BHARADWAJ	601	588	97.84%	2,131	37,125
NODA	1,377	587	42.63%	2,132	19,590
BURTON	110,529	586	0.53%	2,133	280
MOHSIN	936	586	62.61%	2,134	26,143
JOUNG	637	586	91.99%	2,135	35,345
BHATTACHARJEE	620	585	94.35%	2,136	36,154
SAYED	1,516	585	38.59%	2,137	18,301
ISIDRO	2,127	585	27.50%	2,138	14,127
SANDIEGO	795	585	73.58%	2,139	29,626
SHAHEEN	3,440	584	16.98%	2,140	9,458
OCONNOR	77,923	584	0.75%	2,141	417
MAHARJAN	609	584	95.89%	2,142	36,695
VENUGOPAL	617	583	94.49%	2,143	36,286
CARR	119,076	583	0.49%	2,144	255
NARCISO	1,949	582	29.86%	2,145	15,127
DEDIOS	2,784	582	20.91%	2,146	11,335
MAYEDA	828	582	70.29%	2,147	28,746
FIFITA	702	582	82.91%	2,148	32,710
CHIAO	619	582	94.02%	2,149	36,204
USMANI	658	581	88.30%	2,150	34,427
OKUMURA	722	581	80.47%	2,151	31,960
WALTERS	89,376	581	0.65%	2,152	350
BECKER	87,859	580	0.66%	2,153	357
IMAM	817	580	70.99%	2,154	29,041
OTANI	756	580	76.72%	2,155	30,799
TUPOU	718	580	80.78%	2,156	32,123
ZACHARIAH	838	580	69.21%	2,157	28,465
RAFAEL	3,631	580	15.97%	2,158	9,006
KIL	710	579	81.55%	2,159	32,396
SWAMY	670	579	86.42%	2,160	33,941
RAWAT	624	579	92.79%	2,161	35,945
NAGPAL	625	578	92.48%	2,162	35,912
DELUNA	10,182	578	5.68%	2,163	3,508
BAK	2,920	578	19.79%	2,164	10,903
KATAYAMA	695	577	83.02%	2,165	32,960
TSAY	641	577	90.02%	2,166	35,147
SOMERA	900	576	64.00%	2,167	26,949
SANO	1,672	575	34.39%	2,168	16,993
WILLIAMSON	114,959	575	0.50%	2,169	267
ARENAS	11,809	575	4.87%	2,170	3,035
GANGULY	635	575	90.55%	2,171	35,447
AZHAR	665	574	86.32%	2,172	34,149
AULAKH	615	574	93.33%	2,173	36,379
BACK	8,762	574	6.55%	2,174	4,051
OTSUKA	786	574	73.03%	2,175	29,878
HAROON	775	574	74.06%	2,176	30,222
BAWA	764	574	75.13%	2,177	30,538
OKUBO	733	573	78.17%	2,178	31,554
NAITO	700	573	81.86%	2,179	32,792
SANGHERA	612	573	93.63%	2,180	36,525
VARKEY	607	573	94.40%	2,181	36,788
SUBBA	599	573	95.66%	2,182	37,229
QAMAR	665	572	86.02%	2,183	34,149
ZABALA	4,348	572	13.16%	2,184	7,637
TERUYA	698	571	81.81%	2,185	32,865
CUMMINGS	79,316	571	0.72%	2,186	403
BHATTACHARYYA	647	571	88.25%	2,187	34,878
ZAVERI	609	571	93.76%	2,188	36,695
VEMURI	596	570	95.64%	2,189	37,391
PEARSON	101,836	570	0.56%	2,190	308
ALLI	1,931	570	29.52%	2,191	15,236
SAPKOTA	599	569	94.99%	2,192	37,229
XIAN	583	569	97.60%	2,193	38,050
BALINGIT	679	568	83.65%	2,194	33,567
ADVANI	671	568	84.65%	2,195	33,894
MANIVONG	646	568	87.93%	2,196	34,916
HARIHARAN	593	568	95.78%	2,197	37,544
PIAO	588	568	96.60%	2,198	37,792
MULTANI	657	567	86.30%	2,199	34,465
TAKHAR	604	567	93.87%	2,200	36,970
MAKNOJIA	599	567	94.66%	2,201	37,229
BISWA	577	567	98.27%	2,202	38,389
BABA	1,727	567	32.83%	2,203	16,601
TOKUNAGA	710	567	79.86%	2,204	32,396
NAMBIAR	613	566	92.33%	2,205	36,477
SAWANT	605	566	93.55%	2,206	36,900
JAO	631	565	89.54%	2,207	35,622
NHAM	571	564	98.77%	2,208	38,691
QURAISHI	750	564	75.20%	2,209	30,980
DEB	696	564	81.03%	2,210	32,935
CRAIG	92,507	564	0.61%	2,211	332
MCCARTHY	82,950	564	0.68%	2,212	384
PICH	929	564	60.71%	2,213	26,282
HYDER	4,971	563	11.33%	2,214	6,787
KAI	1,191	563	47.27%	2,215	21,830
MI	767	563	73.40%	2,216	30,442
IMAMURA	720	563	78.19%	2,217	32,031
DIMALANTA	654	563	86.09%	2,218	34,574
YARLAGADDA	594	563	94.78%	2,219	37,492
KHARE	661	562	85.02%	2,220	34,314
DUGGAL	618	562	90.94%	2,221	36,246
PHANG	742	562	75.74%	2,222	31,251
FLEMING	90,677	562	0.62%	2,223	342
WILLIAM	13,373	562	4.20%	2,224	2,694
FAISAL	785	561	71.46%	2,225	29,918
MOU	673	561	83.36%	2,226	33,810
JOCSON	648	561	86.57%	2,227	34,835
LACAP	627	561	89.47%	2,228	35,812
PUREWAL	616	561	91.07%	2,229	36,337
ISIP	638	560	87.77%	2,230	35,294
NISHI	718	560	77.99%	2,231	32,123
KELLER	98,268	560	0.57%	2,232	317
RODRIGO	1,401	560	39.97%	2,233	19,321
OKA	867	559	64.48%	2,234	27,732
SALGADO	45,469	559	1.23%	2,235	759
MORIKAWA	711	558	78.48%	2,236	32,365
SAW	691	558	80.75%	2,237	33,121
REZA	6,349	557	8.77%	2,238	5,479
DASH	3,828	557	14.55%	2,239	8,599
MIYAZAKI	682	557	81.67%	2,240	33,450
GOKHALE	588	557	94.73%	2,241	37,792
DWIVEDI	581	557	95.87%	2,242	38,155
CAPISTRANO	683	556	81.41%	2,243	33,410
ADVINCULA	716	556	77.65%	2,244	32,203
MONZON	6,151	554	9.01%	2,245	5,646
NARINE	1,239	554	44.71%	2,246	21,184
OLIVA	19,513	554	2.84%	2,247	1,835
THEIN	1,462	554	37.89%	2,248	18,757
MALLICK	1,055	554	52.51%	2,249	23,920
SARAVANAN	573	554	96.68%	2,250	38,582
YOUSAF	628	553	88.06%	2,251	35,764
QUIZON	623	553	88.76%	2,252	35,993
PEDRO	6,649	553	8.32%	2,253	5,246
LAMBERT	93,678	553	0.59%	2,254	329
DIEU	805	552	68.57%	2,255	29,366
SINGSON	708	552	77.97%	2,256	32,485
LOVAN	1,363	552	40.50%	2,257	19,755
KATTA	657	552	84.02%	2,258	34,465
TUASON	650	552	84.92%	2,259	34,758
VIJAY	634	551	86.91%	2,260	35,489
MARANAN	618	551	89.16%	2,261	36,246
KAWAI	769	551	71.65%	2,262	30,390
ABDUL	1,978	551	27.86%	2,263	14,950
RIOS	127,794	550	0.43%	2,264	237
NEAL	91,694	550	0.60%	2,265	337
AYUB	966	550	56.94%	2,266	25,555
NARULA	623	550	88.28%	2,267	35,993
SHEU	613	550	89.72%	2,268	36,477
CHRISTENSEN	75,143	549	0.73%	2,269	433
PAGE	82,992	548	0.66%	2,270	383
SAGUN	813	548	67.40%	2,271	29,138
LOOK	4,222	548	12.98%	2,272	7,843
SAJID	615	548	89.11%	2,273	36,379
TALUKDER	585	548	93.68%	2,274	37,955
CHERUKURI	580	548	94.48%	2,275	38,214
TROUNG	590	547	92.71%	2,276	37,691
TORIO	759	547	72.07%	2,277	30,701
CHINEN	731	547	74.83%	2,278	31,629
POE	23,563	547	2.32%	2,279	1,522
TOBIAS	14,482	547	3.78%	2,280	2,494
TIONGSON	667	546	81.86%	2,281	34,073
WARNER	83,781	545	0.65%	2,282	375
MIYASATO	790	545	68.99%	2,283	29,768
HAYAT	778	545	70.05%	2,284	30,139
LUE	1,184	545	46.03%	2,285	21,926
VICTOR	11,234	544	4.84%	2,286	3,214
TERADA	683	544	79.65%	2,287	33,410
KAMAT	583	544	93.31%	2,288	38,050
MAMARIL	664	543	81.78%	2,289	34,185
MINAMI	661	543	82.15%	2,290	34,314
PARAGAS	606	542	89.44%	2,291	36,838
GUHA	603	542	89.88%	2,292	37,029
CUA	1,082	542	50.09%	2,293	23,485
