Last_Name/Surname	Total1	Black2	Percentage3	Rank4	U.S. Rank5
MIDDLEBROOKS	4,643	2,510	54.06%	1,664	7,198
CLOUD	14,555	2,509	17.24%	1,665	2,478
LANDRUM	12,026	2,506	20.84%	1,666	2,981
LOYD	13,547	2,505	18.49%	1,667	2,662
MATLOCK	12,599	2,503	19.87%	1,668	2,861
LAND	21,116	2,502	11.85%	1,669	1,704
SMAIL	9,097	2,502	27.50%	1,670	3,900
FARRELL	52,321	2,501	4.78%	1,671	652
BAUGH	12,543	2,500	19.93%	1,672	2,873
ADEN	4,705	2,499	53.11%	1,673	7,110
WEATHERSBY	3,844	2,496	64.93%	1,674	8,570
STARR	30,363	2,496	8.22%	1,675	1,158
TORRES	437,813	2,496	0.57%	1,676	37
SWEENEY	52,410	2,495	4.76%	1,677	651
GAVIN	14,061	2,494	17.74%	1,678	2,569
DURDEN	7,007	2,494	35.59%	1,679	5,014
EADDY	3,385	2,493	73.65%	1,680	9,598
SALMON	14,511	2,492	17.17%	1,681	2,486
LOPES	18,310	2,490	13.60%	1,682	1,976
NARCISSE	2,774	2,486	89.62%	1,683	11,371
DENTON	27,742	2,483	8.95%	1,684	1,268
FLOOD	17,053	2,481	14.55%	1,685	2,125
SHIRLEY	27,224	2,477	9.10%	1,686	1,292
HOLLY	8,934	2,477	27.73%	1,687	3,979
SHELL	13,369	2,471	18.48%	1,688	2,696
FOWLKES	4,686	2,467	52.65%	1,689	7,135
CHRISTIE	18,681	2,466	13.20%	1,690	1,931
BEDFORD	8,814	2,464	27.96%	1,691	4,029
CAUSEY	11,387	2,463	21.63%	1,692	3,171
TIBBS	7,294	2,462	33.75%	1,693	4,835
DAYE	3,958	2,462	62.20%	1,694	8,365
HYLTON	8,440	2,457	29.11%	1,695	4,199
PERSAUD	11,956	2,456	20.54%	1,696	3,000
KEATON	9,723	2,454	25.24%	1,697	3,656
JALLOH	2,542	2,452	96.46%	1,698	12,238
AIKENS	4,936	2,450	49.64%	1,699	6,831
PETTIGREW	7,958	2,449	30.77%	1,700	4,458
BRANNON	16,136	2,449	15.18%	1,701	2,253
COFFEY	36,423	2,448	6.72%	1,702	955
FRASIER	8,124	2,442	30.06%	1,703	4,376
JULES	2,911	2,439	83.79%	1,704	10,935
PRESCOTT	16,975	2,438	14.36%	1,705	2,134
BUCK	42,639	2,435	5.71%	1,706	812
SANON	2,943	2,435	82.74%	1,707	10,822
MAYE	4,356	2,432	55.83%	1,708	7,621
DUCKETT	7,375	2,431	32.96%	1,709	4,794
GERALD	5,244	2,429	46.32%	1,710	6,476
TYUS	3,102	2,429	78.30%	1,711	10,387
HUTCHERSON	6,795	2,428	35.73%	1,712	5,150
LINCOLN	16,477	2,424	14.71%	1,713	2,209
PARSONS	67,310	2,423	3.60%	1,714	498
PEEBLES	8,843	2,423	27.40%	1,715	4,021
TRIMBLE	16,306	2,420	14.84%	1,716	2,235
COSTON	4,969	2,419	48.68%	1,717	6,788
SANDS	18,584	2,418	13.01%	1,718	1,944
BIVINS	5,681	2,411	42.44%	1,719	6,045
ROZIER	4,386	2,408	54.90%	1,720	7,575
STLOUIS	5,158	2,407	46.67%	1,721	6,569
HYDE	29,094	2,406	8.27%	1,722	1,213
COUSINS	9,380	2,405	25.64%	1,723	3,773
WORRELL	10,821	2,404	22.22%	1,724	3,313
SESAY	2,506	2,404	95.93%	1,725	12,407
WARFIELD	7,443	2,404	32.30%	1,726	4,758
STROMAN	4,071	2,401	58.98%	1,727	8,141
MANGUM	9,515	2,399	25.21%	1,728	3,723
GADSDEN	2,768	2,396	86.56%	1,729	11,393
BATTLES	7,702	2,395	31.10%	1,730	4,606
QUALLS	11,958	2,394	20.02%	1,731	2,999
ROWELL	15,952	2,391	14.99%	1,732	2,285
PERDUE	16,464	2,386	14.49%	1,733	2,211
PEACOCK	21,712	2,386	10.99%	1,734	1,659
STEPHEN	9,925	2,386	24.04%	1,735	3,585
CRUTCHER	6,004	2,386	39.74%	1,736	5,769
GAINEY	8,556	2,384	27.86%	1,737	4,140
MCCONNELL	39,754	2,377	5.98%	1,738	872
HAMM	26,726	2,376	8.89%	1,739	1,314
DOWDY	13,468	2,369	17.59%	1,740	2,678
MCCLARY	6,070	2,368	39.01%	1,741	5,713
LITTLES	3,224	2,367	73.42%	1,742	9,998
FARR	20,011	2,363	11.81%	1,743	1,794
BOATWRIGHT	7,379	2,359	31.97%	1,744	4,790
YANCY	4,384	2,356	53.74%	1,745	7,580
HARDEMAN	4,565	2,354	51.57%	1,746	7,305
MCCARTY	36,944	2,353	6.37%	1,747	939
GROVES	24,629	2,352	9.55%	1,748	1,447
MULDROW	2,887	2,352	81.47%	1,749	11,016
GATLING	2,944	2,352	79.89%	1,750	10,819
FLEMMING	6,234	2,350	37.70%	1,751	5,575
LARKINS	6,357	2,349	36.95%	1,752	5,470
SPICER	18,501	2,348	12.69%	1,753	1,951
HUGHLEY	3,035	2,342	77.17%	1,754	10,560
SNYDER	160,262	2,340	1.46%	1,755	165
ASHBY	17,482	2,339	13.38%	1,756	2,069
NDIAYE	2,491	2,338	93.86%	1,757	12,460
WHARTON	11,656	2,335	20.03%	1,758	3,084
TIDWELL	21,176	2,334	11.02%	1,759	1,699
KIRKWOOD	8,227	2,333	28.36%	1,760	4,320
SPAIN	11,628	2,333	20.06%	1,761	3,093
JETT	12,008	2,332	19.42%	1,762	2,985
WITHERS	11,381	2,330	20.47%	1,763	3,176
WORTHAM	5,358	2,328	43.45%	1,764	6,358
GERMAN	16,661	2,326	13.96%	1,765	2,182
NORFLEET	4,139	2,322	56.10%	1,766	7,988
ADAM	13,574	2,320	17.09%	1,767	2,654
JOE	9,280	2,318	24.98%	1,768	3,819
NICOLAS	9,006	2,317	25.73%	1,769	3,951
KANE	50,584	2,312	4.57%	1,770	680
SALES	10,439	2,310	22.13%	1,771	3,418
MAYERS	6,076	2,310	38.02%	1,772	5,708
MERCHANT	14,692	2,308	15.71%	1,773	2,455
PORTIS	3,274	2,308	70.49%	1,774	9,877
THIBODEAUX	13,850	2,307	16.66%	1,775	2,602
MCLENDON	8,453	2,305	27.27%	1,776	4,193
SHIPMAN	15,581	2,304	14.79%	1,777	2,339
WOFFORD	8,856	2,298	25.95%	1,778	4,011
WORD	6,177	2,295	37.15%	1,779	5,628
ELEY	4,848	2,294	47.32%	1,780	6,921
EASTERLING	8,433	2,291	27.17%	1,781	4,201
BREAUX	12,705	2,286	17.99%	1,782	2,842
PINKSTON	8,291	2,285	27.56%	1,783	4,292
LIGON	6,140	2,280	37.13%	1,784	5,654
CURETON	4,437	2,279	51.36%	1,785	7,504
WITCHER	5,275	2,279	43.20%	1,786	6,437
SETTLES	6,137	2,277	37.10%	1,787	5,656
CULPEPPER	10,135	2,277	22.47%	1,788	3,521
RAMEY	22,287	2,271	10.19%	1,789	1,616
STALEY	18,080	2,269	12.55%	1,790	1,998
GLASPER	2,647	2,268	85.68%	1,791	11,821
JEROME	9,131	2,267	24.83%	1,792	3,885
CHRISTMAS	5,599	2,266	40.47%	1,793	6,122
LEARY	15,505	2,261	14.58%	1,794	2,351
DOBBS	18,476	2,261	12.24%	1,795	1,956
DIAZ	347,636	2,260	0.65%	1,796	55
ROSSER	8,043	2,259	28.09%	1,797	4,417
CALLAWAY	13,819	2,255	16.32%	1,798	2,610
NATHAN	8,300	2,252	27.13%	1,799	4,284
TOMLIN	11,797	2,251	19.08%	1,800	3,036
AVANT	5,443	2,251	41.36%	1,801	6,277
EALY	4,408	2,249	51.02%	1,802	7,543
CHEEK	16,020	2,248	14.03%	1,803	2,273
MARABLE	3,514	2,245	63.89%	1,804	9,265
MCCULLUM	3,302	2,239	67.81%	1,805	9,803
CORMIER	17,377	2,238	12.88%	1,806	2,081
HEMINGWAY	5,970	2,237	37.47%	1,807	5,794
STYLES	6,847	2,236	32.66%	1,808	5,113
DUNSTON	3,702	2,236	60.40%	1,809	8,850
ABDULLAHI	2,343	2,236	95.43%	1,810	13,091
GOVAN	3,188	2,236	70.14%	1,811	10,103
LUBIN	4,601	2,234	48.55%	1,812	7,247
GOOCH	11,453	2,234	19.51%	1,813	3,155
FORTSON	4,273	2,233	52.26%	1,814	7,765
MCARTHUR	12,683	2,231	17.59%	1,815	2,844
LATIMER	9,733	2,230	22.91%	1,816	3,653
SIMONS	25,755	2,228	8.65%	1,817	1,371
MALLARD	6,583	2,228	33.84%	1,818	5,289
GERMAIN	7,332	2,227	30.37%	1,819	4,816
MARCUS	17,671	2,227	12.60%	1,820	2,037
TRIPP	20,434	2,227	10.90%	1,821	1,753
THURMOND	5,922	2,218	37.45%	1,822	5,841
CATHEY	8,779	2,217	25.25%	1,823	4,048
BANKSTON	7,101	2,214	31.18%	1,824	4,953
APPLEWHITE	3,687	2,208	59.89%	1,825	8,882
MARK	14,265	2,203	15.44%	1,826	2,537
DUNHAM	22,362	2,203	9.85%	1,827	1,604
BARNER	5,827	2,201	37.77%	1,828	5,913
SALLEY	5,392	2,200	40.80%	1,829	6,327
DUNSON	4,088	2,199	53.79%	1,830	8,110
PENNY	10,249	2,197	21.44%	1,831	3,485
LANDERS	19,144	2,196	11.47%	1,832	1,876
MCCALLUM	10,229	2,195	21.46%	1,833	3,495
STORY	19,218	2,195	11.42%	1,834	1,867
WILBORN	4,752	2,193	46.15%	1,835	7,047
JEFFERIES	4,953	2,193	44.28%	1,836	6,809
HILLMAN	15,738	2,192	13.93%	1,837	2,321
CEASAR	2,694	2,190	81.29%	1,838	11,637
HUFFMAN	50,786	2,189	4.31%	1,839	674
GUILLAUME	3,230	2,185	67.65%	1,840	9,987
KITCHEN	15,170	2,183	14.39%	1,841	2,390
RADFORD	12,956	2,182	16.84%	1,842	2,785
HANKERSON	2,561	2,179	85.08%	1,843	12,170
ARCENEAUX	5,818	2,178	37.44%	1,844	5,924
DURR	6,937	2,177	31.38%	1,845	5,057
SARGENT	27,786	2,176	7.83%	1,846	1,265
BURNSIDE	8,859	2,174	24.54%	1,847	4,009
EDWARD	4,473	2,173	48.58%	1,848	7,446
LATIMORE	2,605	2,173	83.42%	1,849	11,988
WATT	15,211	2,172	14.28%	1,850	2,387
MATTOX	10,099	2,170	21.49%	1,851	3,535
KORNEGAY	4,702	2,169	46.13%	1,852	7,116
VENABLE	10,333	2,168	20.98%	1,853	3,458
TRUITT	9,557	2,167	22.67%	1,854	3,712
FLAGG	6,834	2,167	31.71%	1,855	5,122
WHITTED	4,330	2,163	49.95%	1,856	7,671
BRUNO	30,883	2,162	7.00%	1,857	1,135
DEBOSE	2,727	2,158	79.13%	1,858	11,534
MCCREE	2,931	2,155	73.52%	1,859	10,871
MAXEY	10,584	2,155	20.36%	1,860	3,372
MORAN	88,615	2,153	2.43%	1,861	353
CANNADY	5,172	2,152	41.61%	1,862	6,548
LEFLORE	2,884	2,150	74.55%	1,863	11,026
KENNEY	27,759	2,146	7.73%	1,864	1,266
CAESAR	3,628	2,145	59.12%	1,865	9,013
DAVIES	33,753	2,143	6.35%	1,866	1,030
PHIFER	5,671	2,142	37.77%	1,867	6,051
SAYLES	5,902	2,142	36.29%	1,868	5,852
BRAGGS	2,568	2,142	83.41%	1,869	12,132
AMBROSE	17,178	2,139	12.45%	1,870	2,107
FEARS	4,762	2,138	44.90%	1,871	7,027
TABB	4,312	2,135	49.51%	1,872	7,698
SHINE	6,217	2,135	34.34%	1,873	5,595
HOWZE	3,263	2,134	65.40%	1,874	9,907
RATCLIFF	10,497	2,133	20.32%	1,875	3,409
MCDADE	7,119	2,131	29.93%	1,876	4,945
GALES	4,169	2,130	51.09%	1,877	7,937
PARIS	17,707	2,127	12.01%	1,878	2,033
GONZALES	214,758	2,126	0.99%	1,879	111
SWINTON	3,028	2,126	70.21%	1,880	10,587
BLANDING	3,237	2,124	65.62%	1,881	9,966
WALCOTT	4,346	2,121	48.80%	1,882	7,641
OVERSTREET	12,342	2,119	17.17%	1,883	2,907
EMANUEL	6,517	2,117	32.48%	1,884	5,340
DOE	7,066	2,113	29.90%	1,885	4,972
KINARD	7,035	2,112	30.02%	1,886	4,990
WOOLFOLK	3,295	2,110	64.04%	1,887	9,827
PEACE	8,841	2,110	23.87%	1,888	4,022
ANDRADE	65,037	2,107	3.24%	1,889	516
COMER	16,893	2,107	12.47%	1,890	2,148
MILNER	12,153	2,106	17.33%	1,891	2,955
BIENAIME	2,277	2,106	92.49%	1,892	13,376
FLUKER	2,901	2,106	72.60%	1,893	10,964
MCIVER	5,457	2,105	38.57%	1,894	6,258
MCGREGOR	15,614	2,102	13.46%	1,895	2,333
RIGGS	34,506	2,101	6.09%	1,896	1,011
MATTHEW	6,436	2,101	32.64%	1,897	5,408
WINGFIELD	6,362	2,101	33.02%	1,898	5,466
NAPIER	19,182	2,099	10.94%	1,899	1,872
LEDBETTER	19,417	2,099	10.81%	1,900	1,847
LIDDELL	4,892	2,098	42.89%	1,901	6,874
BAZILE	2,491	2,097	84.18%	1,902	12,460
MOSELY	3,419	2,097	61.33%	1,903	9,506
BURWELL	6,193	2,095	33.83%	1,904	5,613
EADY	3,992	2,094	52.45%	1,905	8,299
BORDERS	9,053	2,094	23.13%	1,906	3,928
WIGFALL	2,314	2,093	90.45%	1,907	13,210
STROTHER	7,170	2,092	29.18%	1,908	4,910
ETHERIDGE	10,420	2,091	20.07%	1,909	3,425
LADSON	2,729	2,090	76.58%	1,910	11,524
IVERY	2,457	2,089	85.02%	1,911	12,597
HARDWICK	10,841	2,089	19.27%	1,912	3,310
CLANTON	7,965	2,088	26.21%	1,913	4,455
RODNEY	4,089	2,088	51.06%	1,914	8,106
OGLETREE	4,519	2,087	46.18%	1,915	7,369
LOVING	7,135	2,085	29.22%	1,916	4,933
RUDD	14,732	2,082	14.13%	1,917	2,451
CROMWELL	8,087	2,082	25.75%	1,918	4,397
WICKS	9,489	2,082	21.94%	1,919	3,735
FERNANDEZ	180,842	2,080	1.15%	1,920	142
HECTOR	4,387	2,079	47.39%	1,921	7,572
BUTCHER	22,978	2,077	9.04%	1,922	1,567
BECKETT	11,763	2,075	17.64%	1,923	3,045
BORDEN	15,500	2,074	13.38%	1,924	2,352
CHURCH	36,072	2,074	5.75%	1,925	966
SMOTHERS	7,444	2,072	27.83%	1,926	4,756
BARNEY	16,404	2,069	12.61%	1,927	2,224
FARRAR	14,892	2,066	13.87%	1,928	2,434
PULLEY	8,007	2,065	25.79%	1,929	4,435
HARDISON	8,128	2,063	25.38%	1,930	4,375
CHARLESTON	3,346	2,063	61.66%	1,931	9,695
SHEPHARD	6,859	2,062	30.06%	1,932	5,105
USHER	7,477	2,060	27.55%	1,933	4,742
GRAYS	2,404	2,055	85.48%	1,934	12,825
HAUGHTON	3,577	2,054	57.42%	1,935	9,129
MCGINNIS	26,953	2,054	7.62%	1,936	1,303
BRONSON	11,229	2,052	18.27%	1,937	3,215
DEAS	4,165	2,050	49.22%	1,938	7,944
DIOP	2,246	2,049	91.23%	1,939	13,506
NEWSOM	11,218	2,046	18.24%	1,940	3,218
SEWARD	10,399	2,045	19.67%	1,941	3,430
ASHE	7,756	2,044	26.35%	1,942	4,573
RUMPH	3,218	2,044	63.52%	1,943	10,019
LUCKEY	5,434	2,043	37.60%	1,944	6,288
NAYLOR	16,745	2,041	12.19%	1,945	2,169
SADDLER	4,282	2,039	47.62%	1,946	7,753
PETTUS	5,204	2,037	39.14%	1,947	6,520
RAGIN	2,551	2,037	79.85%	1,948	12,208
ROOKS	6,883	2,036	29.58%	1,949	5,086
HARTLEY	31,221	2,036	6.52%	1,950	1,124
EDOUARD	2,216	2,035	91.83%	1,951	13,660
WREN	11,211	2,029	18.10%	1,952	3,220
ROBINS	10,797	2,028	18.78%	1,953	3,322
FRANCE	11,937	2,027	16.98%	1,954	3,005
TOURE	2,198	2,027	92.22%	1,955	13,764
TOOMER	3,059	2,027	66.26%	1,956	10,491
TEASLEY	4,400	2,026	46.05%	1,957	7,554
DYKES	13,874	2,024	14.59%	1,958	2,598
CROOM	4,407	2,022	45.88%	1,959	7,545
TITUS	15,780	2,018	12.79%	1,960	2,314
BANNISTER	8,639	2,016	23.34%	1,961	4,105
THREATT	3,545	2,016	56.87%	1,962	9,199
LITTLETON	9,939	2,014	20.26%	1,963	3,581
SANDIFER	5,786	2,013	34.79%	1,964	5,949
WHITEHURST	7,412	2,012	27.15%	1,965	4,774
FEASTER	4,871	2,012	41.31%	1,966	6,900
ISRAEL	10,245	2,012	19.64%	1,967	3,488
YARBOROUGH	6,839	2,011	29.40%	1,968	5,119
PETE	4,619	2,008	43.47%	1,969	7,228
GRANDBERRY	2,158	2,008	93.05%	1,970	13,974
CULVER	17,566	2,004	11.41%	1,971	2,051
HEBERT	41,275	2,002	4.85%	1,972	836
BANKHEAD	3,540	2,002	56.55%	1,973	9,210
LAYNE	13,367	2,001	14.97%	1,974	2,697
COCKRELL	9,465	1,998	21.11%	1,975	3,744
GADDIS	9,142	1,997	21.84%	1,976	3,877
GAGE	16,614	1,995	12.01%	1,977	2,187
FLANAGAN	30,887	1,995	6.46%	1,978	1,134
WELDON	14,538	1,992	13.70%	1,979	2,481
MCCARTER	9,849	1,991	20.22%	1,980	3,605
HATTEN	5,907	1,991	33.71%	1,981	5,849
SEYMORE	4,474	1,986	44.39%	1,982	7,445
REEDER	19,155	1,984	10.36%	1,983	1,874
PEYTON	10,276	1,982	19.29%	1,984	3,477
SESSOMS	4,044	1,982	49.01%	1,985	8,206
TUTT	4,005	1,982	49.49%	1,986	8,277
BASSETT	20,482	1,981	9.67%	1,987	1,750
MCHENRY	11,660	1,978	16.96%	1,988	3,082
MANSON	7,663	1,976	25.79%	1,989	4,629
GATSON	2,373	1,976	83.27%	1,990	12,944
KILPATRICK	14,087	1,974	14.01%	1,991	2,565
RIDDLE	33,507	1,974	5.89%	1,992	1,036
BLEVINS	38,229	1,973	5.16%	1,993	906
SHACKELFORD	11,525	1,972	17.11%	1,994	3,130
KEE	9,049	1,972	21.79%	1,995	3,932
HAM	16,980	1,971	11.61%	1,996	2,133
SPELLER	2,668	1,970	73.84%	1,997	11,743
TUNSTALL	3,859	1,970	51.05%	1,998	8,527
CALLENDER	5,728	1,965	34.31%	1,999	6,004
SUMMERVILLE	4,905	1,963	40.02%	2,000	6,861
BROADWAY	6,647	1,962	29.52%	2,001	5,247
BIAS	6,518	1,962	30.10%	2,002	5,339
GERMANY	3,825	1,962	51.29%	2,003	8,606
SCROGGINS	9,495	1,962	20.66%	2,004	3,732
GORHAM	8,458	1,958	23.15%	2,005	4,190
DELOATCH	2,206	1,957	88.71%	2,006	13,721
WAKEFIELD	14,587	1,955	13.40%	2,007	2,472
CASTON	3,561	1,954	54.87%	2,008	9,165
THROWER	4,938	1,953	39.55%	2,009	6,828
MACLIN	2,673	1,953	73.06%	2,010	11,722
GOOLSBY	7,721	1,951	25.27%	2,011	4,596
HUTTON	18,479	1,950	10.55%	2,012	1,955
WINBUSH	2,195	1,949	88.79%	2,013	13,781
JOSHUA	3,403	1,948	57.24%	2,014	9,552
COWARD	5,720	1,948	34.06%	2,015	6,012
COTTRELL	16,930	1,947	11.50%	2,016	2,141
FLYNN	63,400	1,946	3.07%	2,017	534
CROOKS	10,244	1,946	19.00%	2,018	3,489
GRISSOM	11,563	1,945	16.82%	2,019	3,116
GURLEY	8,669	1,945	22.44%	2,020	4,098
FUQUA	8,312	1,945	23.40%	2,021	4,274
GOOD	35,446	1,942	5.48%	2,022	981
MCCANN	35,408	1,940	5.48%	2,023	983
LENOIR	3,534	1,940	54.90%	2,024	9,222
FRIDAY	6,980	1,938	27.77%	2,025	5,029
HOOVER	57,497	1,938	3.37%	2,026	580
COUCH	26,615	1,938	7.28%	2,027	1,323
WINGATE	8,359	1,937	23.17%	2,028	4,242
MONTEIRO	6,965	1,937	27.81%	2,029	5,036
REYES	327,904	1,935	0.59%	2,030	60
TOBIAS	14,482	1,933	13.35%	2,031	2,494
ZIMMERMAN	83,265	1,932	2.32%	2,032	379
WHITT	17,293	1,930	11.16%	2,033	2,092
STRANGE	14,948	1,928	12.90%	2,034	2,425
COULTER	20,757	1,926	9.28%	2,035	1,725
BREWINGTON	5,366	1,926	35.89%	2,036	6,352
STUBBLEFIELD	8,878	1,925	21.68%	2,037	4,002
WILLOUGHBY	16,111	1,924	11.94%	2,038	2,257
PEARCE	31,060	1,923	6.19%	2,039	1,129
HUDGINS	11,755	1,923	16.36%	2,040	3,048
COUSIN	3,131	1,923	61.42%	2,041	10,292
NURSE	2,786	1,923	69.02%	2,042	11,327
SPARROW	7,614	1,921	25.23%	2,043	4,657
LATHAN	3,575	1,921	53.73%	2,044	9,134
DEWBERRY	3,960	1,920	48.48%	2,045	8,361
ROBERT	12,181	1,919	15.75%	2,046	2,944
WESTMORELAND	10,399	1,919	18.45%	2,047	3,430
NORTH	20,343	1,918	9.43%	2,048	1,766
PACK	18,678	1,918	10.27%	2,049	1,932
DILWORTH	4,699	1,917	40.80%	2,050	7,120
MONK	12,103	1,913	15.81%	2,051	2,964
VICK	14,421	1,912	13.26%	2,052	2,511
GITTENS	2,756	1,909	69.27%	2,053	11,430
BOLES	14,946	1,904	12.74%	2,054	2,426
BOLLING	6,414	1,903	29.67%	2,055	5,429
GROOMS	11,045	1,899	17.19%	2,056	3,267
SHANKS	11,822	1,897	16.05%	2,057	3,031
ABEBE	1,985	1,897	95.57%	2,058	14,913
FLUELLEN	2,074	1,896	91.42%	2,059	14,409
WINDHAM	10,390	1,896	18.25%	2,060	3,437
MAXIE	3,322	1,893	56.98%	2,061	9,756
ORANGE	4,350	1,893	43.52%	2,062	7,629
WRAY	15,405	1,892	12.28%	2,063	2,367
SIBLEY	9,467	1,892	19.99%	2,064	3,742
CARVER	32,415	1,890	5.83%	2,065	1,079
ENNIS	16,419	1,890	11.51%	2,066	2,220
BURKES	3,796	1,890	49.79%	2,067	8,655
TOLES	3,110	1,890	60.77%	2,068	10,365
GILLARD	4,099	1,889	46.08%	2,069	8,089
DEAL	20,366	1,888	9.27%	2,070	1,760
DASILVA	20,338	1,887	9.28%	2,071	1,767
FOOTE	16,425	1,887	11.49%	2,072	2,219
WOODALL	16,260	1,885	11.59%	2,073	2,243
BOBBITT	7,230	1,885	26.07%	2,074	4,873
SOMERVILLE	6,721	1,884	28.03%	2,075	5,199
ANGLIN	10,396	1,884	18.12%	2,076	3,434
SATTERWHITE	5,057	1,882	37.22%	2,077	6,678
FUNCHES	2,242	1,882	83.94%	2,078	13,531
HAZEL	7,711	1,881	24.39%	2,079	4,600
THEODORE	4,601	1,876	40.77%	2,080	7,247
METCALF	23,946	1,875	7.83%	2,081	1,494
LACKEY	18,082	1,875	10.37%	2,082	1,996
COE	16,819	1,875	11.15%	2,083	2,157
DIAMOND	21,586	1,874	8.68%	2,084	1,670
OKAFOR	1,939	1,873	96.60%	2,085	15,194
ONEIL	28,949	1,870	6.46%	2,086	1,220
HOLTON	11,731	1,870	15.94%	2,087	3,058
BECKHAM	9,960	1,870	18.78%	2,088	3,575
GUTHRIE	31,956	1,869	5.85%	2,089	1,095
BOZEMAN	7,004	1,869	26.68%	2,090	5,016
MANIGAULT	2,016	1,867	92.61%	2,091	14,739
SKIPPER	10,338	1,864	18.03%	2,092	3,457
PENDER	6,340	1,861	29.35%	2,093	5,485
MCSWAIN	6,213	1,860	29.94%	2,094	5,600
FAGAN	17,501	1,857	10.61%	2,095	2,063
HOGUE	16,457	1,855	11.27%	2,096	2,213
TRAORE	1,973	1,855	94.02%	2,097	14,979
SAID	5,535	1,854	33.50%	2,098	6,180
CHIN	27,487	1,853	6.74%	2,099	1,279
DIX	9,748	1,852	19.00%	2,100	3,647
MCKINNIE	2,910	1,852	63.64%	2,101	10,942
ANDREW	13,764	1,850	13.44%	2,102	2,617
HAGAN	21,017	1,849	8.80%	2,103	1,710
HATCH	26,903	1,848	6.87%	2,104	1,304
HURLEY	39,796	1,847	4.64%	2,105	870
AUGUSTUS	2,988	1,847	61.81%	2,106	10,697
LAVENDER	7,744	1,844	23.81%	2,107	4,583
RENE	2,933	1,842	62.80%	2,108	10,860
GHOLSTON	2,375	1,842	77.56%	2,109	12,935
DIXSON	4,285	1,842	42.99%	2,110	7,748
SPRINGS	3,911	1,842	47.10%	2,111	8,446
TROTMAN	3,212	1,841	57.32%	2,112	10,029
DOUGLASS	14,862	1,838	12.37%	2,113	2,438
JEFFREY	11,085	1,838	16.58%	2,114	3,257
STOVER	24,526	1,837	7.49%	2,115	1,455
DENIS	6,818	1,837	26.94%	2,116	5,133
ORTIZ	286,899	1,836	0.64%	2,117	68
HARVIN	2,793	1,835	65.70%	2,118	11,308
BAZEMORE	3,604	1,833	50.86%	2,119	9,068
SOW	1,984	1,832	92.34%	2,120	14,920
HANKS	17,498	1,830	10.46%	2,121	2,066
BANGURA	1,916	1,827	95.35%	2,122	15,318
FERNANDES	18,018	1,825	10.13%	2,123	2,007
VARNADO	3,597	1,825	50.74%	2,124	9,085
FLORES	433,969	1,823	0.42%	2,125	40
CRUDUP	2,123	1,823	85.87%	2,126	14,152
MONDESIR	1,946	1,823	93.68%	2,127	15,151
KEARSE	2,583	1,823	70.58%	2,128	12,072
BRAND	19,135	1,822	9.52%	2,129	1,879
HAMLETT	5,435	1,821	33.51%	2,130	6,286
SCARBOROUGH	12,252	1,819	14.85%	2,131	2,925
CHOICE	2,114	1,818	86.00%	2,132	14,201
EMMANUEL	2,864	1,816	63.41%	2,133	11,081
BRACY	3,808	1,815	47.66%	2,134	8,635
BAIL	14,957	1,814	12.13%	2,135	2,421
BROTHERS	11,619	1,813	15.60%	2,136	3,096
MULLINGS	2,720	1,811	66.58%	2,137	11,555
TRIBBLE	6,220	1,811	29.12%	2,138	5,591
ELLERBE	2,560	1,810	70.70%	2,139	12,174
BURSE	2,634	1,809	68.68%	2,140	11,886
OSEI	1,868	1,805	96.63%	2,141	15,639
DEWITT	26,348	1,802	6.84%	2,142	1,338
TROUTMAN	11,519	1,802	15.64%	2,143	3,135
MORSE	41,774	1,800	4.31%	2,144	824
AUTRY	8,704	1,800	20.68%	2,145	4,081
RAWLINGS	9,652	1,799	18.64%	2,146	3,684
SHROPSHIRE	4,469	1,799	40.26%	2,147	7,457
WIMBUSH	2,037	1,797	88.22%	2,148	14,612
NERO	4,259	1,796	42.17%	2,149	7,787
HARTFIELD	3,394	1,796	52.92%	2,150	9,578
PERNELL	2,845	1,796	63.13%	2,151	11,135
PIPER	22,329	1,795	8.04%	2,152	1,607
POUNDS	6,838	1,794	26.24%	2,153	5,121
PALMORE	3,271	1,794	54.85%	2,154	9,884
WILTZ	2,861	1,792	62.64%	2,155	11,095
STEED	10,250	1,790	17.46%	2,156	3,484
REDMON	8,197	1,790	21.84%	2,157	4,333
CLYBURN	3,145	1,789	56.88%	2,158	10,250
WOODBERRY	2,284	1,788	78.28%	2,159	13,349
BRODIE	6,585	1,783	27.08%	2,160	5,288
BOUIE	2,222	1,782	80.20%	2,161	13,627
EMBRY	8,675	1,780	20.52%	2,162	4,092
MCINNIS	7,933	1,780	22.44%	2,163	4,475
PASCHAL	6,075	1,780	29.30%	2,164	5,709
TRUESDALE	4,757	1,780	37.42%	2,165	7,038
MORALES	311,777	1,777	0.57%	2,166	63
NOLEN	10,820	1,777	16.42%	2,167	3,315
RUTH	15,012	1,776	11.83%	2,168	2,414
CISSE	1,873	1,776	94.82%	2,169	15,606
RAGSDALE	12,227	1,775	14.52%	2,170	2,932
PULLEN	10,565	1,774	16.79%	2,171	3,381
MEDLOCK	6,416	1,774	27.65%	2,172	5,427
DAUGHTRY	5,816	1,774	30.50%	2,173	5,925
HOLLIMAN	4,586	1,773	38.66%	2,174	7,265
PINDER	4,151	1,773	42.71%	2,175	7,968
HAGANS	3,316	1,772	53.44%	2,176	9,770
