Last Name/Surname	Total1	White2	Percentage3	Rank4	U.S. Rank5
MEEK	14,970	13,719	91.64%	1,678	2,419
GOODE	22,356	13,709	61.32%	1,679	1,605
LOOMIS	14,518	13,702	94.38%	1,680	2,485
SOUSA	15,377	13,702	89.11%	1,681	2,370
ROLAND	19,311	13,701	70.95%	1,682	1,860
STJOHN	15,843	13,690	86.41%	1,683	2,303
HARE	16,304	13,659	83.78%	1,684	2,236
ENNIS	16,419	13,659	83.19%	1,685	2,220
BOUDREAUX	15,976	13,658	85.49%	1,686	2,282
ROARK	14,509	13,656	94.12%	1,687	2,489
WOODY	18,434	13,647	74.03%	1,688	1,960
REARDON	14,435	13,630	94.42%	1,689	2,509
JEFFERS	17,455	13,625	78.06%	1,690	2,073
PEDERSON	14,370	13,620	94.78%	1,691	2,520
LORENZ	14,528	13,617	93.73%	1,692	2,483
GAGE	16,614	13,614	81.94%	1,693	2,187
KELLOGG	15,317	13,608	88.84%	1,694	2,378
WEINER	14,208	13,607	95.77%	1,695	2,546
ANDERS	15,554	13,607	87.48%	1,696	2,343
KAMINSKI	14,152	13,600	96.10%	1,697	2,553
FAUST	16,066	13,598	84.64%	1,698	2,263
GRANGER	17,539	13,594	77.51%	1,699	2,055
SCHULER	14,745	13,590	92.17%	1,700	2,448
TATUM	24,558	13,581	55.30%	1,701	1,451
OSWALD	14,322	13,579	94.81%	1,702	2,530
MARCUS	17,671	13,564	76.76%	1,703	2,037
MCDONNELL	14,309	13,543	94.65%	1,704	2,532
MELVIN	20,008	13,533	67.64%	1,705	1,795
WOODALL	16,260	13,530	83.21%	1,706	2,243
BURR	15,703	13,520	86.10%	1,707	2,323
FLOOD	17,053	13,518	79.27%	1,708	2,125
IVERSON	15,539	13,514	86.97%	1,709	2,346
MICHAUD	14,910	13,511	90.62%	1,710	2,431
CUTLER	15,621	13,507	86.47%	1,711	2,331
BRUNER	15,898	13,493	84.87%	1,712	2,292
POWER	14,890	13,475	90.50%	1,713	2,435
MOCK	15,847	13,467	84.98%	1,714	2,301
WHITLOCK	16,927	13,464	79.54%	1,715	2,142
BAGLEY	17,324	13,461	77.70%	1,716	2,089
BAUGHMAN	14,230	13,447	94.50%	1,717	2,543
BLISS	14,588	13,441	92.14%	1,718	2,471
CASTRO	184,134	13,423	7.29%	1,719	138
OUELLETTE	13,984	13,413	95.92%	1,720	2,583
BARGER	14,324	13,402	93.56%	1,721	2,528
GUTIERREZ	293,218	13,400	4.57%	1,722	67
GRUBBS	15,773	13,399	84.95%	1,723	2,316
LACEY	18,691	13,392	71.65%	1,724	1,930
HUTSON	15,835	13,388	84.55%	1,725	2,304
MAIER	14,135	13,382	94.67%	1,726	2,557
LIND	14,990	13,376	89.23%	1,727	2,416
LUKE	18,425	13,375	72.59%	1,728	1,961
HAMLIN	16,871	13,365	79.22%	1,729	2,150
VERNON	17,480	13,362	76.44%	1,730	2,070
CORLEY	17,931	13,355	74.48%	1,731	2,012
STUMP	14,257	13,352	93.65%	1,732	2,539
LOMBARDI	14,227	13,345	93.80%	1,733	2,545
MULLIGAN	14,590	13,345	91.47%	1,734	2,469
GODDARD	15,599	13,345	85.55%	1,735	2,335
WHITFIELD	29,962	13,339	44.52%	1,736	1,171
PARIS	17,707	13,323	75.24%	1,737	2,033
GRUBER	14,131	13,318	94.25%	1,738	2,558
MOELLER	13,915	13,314	95.68%	1,739	2,588
PURDY	15,126	13,311	88.00%	1,740	2,396
WILLOUGHBY	16,111	13,300	82.55%	1,741	2,257
MOSELEY	17,130	13,300	77.64%	1,742	2,112
ARNDT	14,031	13,297	94.77%	1,743	2,576
DEATON	14,052	13,295	94.61%	1,744	2,572
BURDICK	14,081	13,292	94.40%	1,745	2,567
RAPP	14,107	13,287	94.19%	1,746	2,562
FOURNIER	14,449	13,284	91.94%	1,747	2,505
FOOTE	16,425	13,275	80.82%	1,748	2,219
PRESCOTT	16,975	13,274	78.20%	1,749	2,134
DONOHUE	13,919	13,256	95.24%	1,750	2,587
PERDUE	16,464	13,254	80.50%	1,751	2,211
NEWCOMB	14,292	13,247	92.69%	1,752	2,534
STARKEY	15,004	13,246	88.28%	1,753	2,415
STEARNS	14,554	13,243	90.99%	1,754	2,479
FOSS	14,094	13,236	93.91%	1,755	2,563
COVINGTON	27,068	13,236	48.90%	1,756	1,298
HILLIARD	20,377	13,221	64.88%	1,757	1,756
ALLEY	14,323	13,220	92.30%	1,758	2,529
GOMES	24,827	13,218	53.24%	1,759	1,433
HEIM	14,414	13,212	91.66%	1,760	2,513
TABOR	15,445	13,210	85.53%	1,761	2,360
MORELAND	17,832	13,194	73.99%	1,762	2,023
PRITCHETT	19,334	13,192	68.23%	1,763	1,856
MAHAN	15,375	13,189	85.78%	1,764	2,371
PFEIFFER	13,851	13,179	95.15%	1,765	2,601
PURVIS	16,686	13,174	78.95%	1,766	2,177
HARMS	14,377	13,164	91.56%	1,767	2,518
DAIGLE	14,084	13,156	93.41%	1,768	2,566
OGLE	14,354	13,155	91.65%	1,769	2,524
BARON	16,308	13,146	80.61%	1,770	2,234
MCMAHAN	14,368	13,144	91.48%	1,771	2,522
PRIEST	14,915	13,142	88.11%	1,772	2,430
STODDARD	14,317	13,130	91.71%	1,773	2,531
RYDER	14,228	13,110	92.14%	1,774	2,544
LAY	18,468	13,109	70.98%	1,775	1,957
GALE	15,866	13,108	82.62%	1,776	2,296
STRINGER	17,300	13,105	75.75%	1,777	2,091
RENNER	13,889	13,099	94.31%	1,778	2,594
KRUGER	13,898	13,095	94.22%	1,779	2,591
WHITTAKER	17,234	13,094	75.98%	1,780	2,100
MICHEL	25,578	13,070	51.10%	1,781	1,383
IRELAND	14,800	13,068	88.30%	1,782	2,445
TIERNEY	13,608	13,030	95.75%	1,783	2,646
BARTLEY	16,689	13,026	78.05%	1,784	2,175
HECK	13,995	13,022	93.05%	1,785	2,580
HEATON	13,834	13,016	94.09%	1,786	2,606
BARTHOLOMEW	15,339	13,007	84.80%	1,787	2,374
HOUGH	15,549	13,005	83.64%	1,788	2,345
ESTEP	14,037	13,000	92.61%	1,789	2,575
GUNDERSON	13,742	12,999	94.59%	1,790	2,624
BYLER	13,230	12,991	98.19%	1,791	2,722
WEINSTEIN	13,563	12,969	95.62%	1,792	2,659
CLEMENS	14,231	12,962	91.08%	1,793	2,542
WELLER	13,774	12,950	94.02%	1,794	2,615
BEAM	13,972	12,946	92.66%	1,795	2,584
LAWLER	14,387	12,943	89.96%	1,796	2,516
THURSTON	15,234	12,931	84.88%	1,797	2,385
BROWER	14,950	12,929	86.48%	1,798	2,423
CREECH	14,264	12,919	90.57%	1,799	2,538
STRAUSS	13,840	12,918	93.34%	1,800	2,604
TRIMBLE	16,306	12,914	79.20%	1,801	2,235
VANHORN	14,151	12,913	91.25%	1,802	2,554
GOLDSMITH	16,346	12,913	79.00%	1,803	2,229
ABERNATHY	16,450	12,900	78.42%	1,804	2,216
DEVRIES	13,600	12,894	94.81%	1,805	2,649
FLINT	15,123	12,886	85.21%	1,806	2,399
HIGGINBOTHAM	14,489	12,882	88.91%	1,807	2,492
STUBBS	20,134	12,880	63.97%	1,808	1,781
BARNEY	16,404	12,877	78.50%	1,809	2,224
CHASTAIN	13,655	12,874	94.28%	1,810	2,637
DOW	15,472	12,863	83.14%	1,811	2,356
HOGUE	16,457	12,859	78.14%	1,812	2,213
CROUSE	13,598	12,856	94.54%	1,813	2,650
SMALLWOOD	18,717	12,853	68.67%	1,814	1,926
CARNES	14,487	12,841	88.64%	1,815	2,493
MALLOY	16,546	12,836	77.58%	1,816	2,200
FAIRCHILD	13,993	12,829	91.68%	1,817	2,581
MORRISSEY	13,564	12,814	94.47%	1,818	2,658
MAJOR	20,977	12,809	61.06%	1,819	1,714
CHEEK	16,020	12,794	79.86%	1,820	2,273
HACKER	13,625	12,790	93.87%	1,821	2,642
THARP	13,757	12,782	92.91%	1,822	2,619
SCHERER	13,421	12,767	95.13%	1,823	2,682
BRANNON	16,136	12,767	79.12%	1,824	2,253
FERRARA	13,669	12,752	93.29%	1,825	2,635
ROWELL	15,952	12,738	79.85%	1,826	2,285
WRAY	15,405	12,731	82.64%	1,827	2,367
HILLMAN	15,738	12,727	80.87%	1,828	2,321
GOETZ	13,390	12,726	95.04%	1,829	2,689
MACKENZIE	13,733	12,720	92.62%	1,830	2,628
HAMBY	13,823	12,719	92.01%	1,831	2,609
YOUNGBLOOD	18,197	12,702	69.80%	1,832	1,982
STARNES	14,442	12,700	87.94%	1,833	2,507
WILKES	18,314	12,695	69.32%	1,834	1,975
PAYTON	23,670	12,685	53.59%	1,835	1,515
BRANTLEY	21,395	12,672	59.23%	1,836	1,684
WORTHINGTON	14,452	12,656	87.57%	1,837	2,503
MCGREGOR	15,614	12,652	81.03%	1,838	2,333
GRIFFITHS	14,805	12,648	85.43%	1,839	2,444
OVERTON	18,820	12,643	67.18%	1,840	1,914
GEE	23,241	12,622	54.31%	1,841	1,547
NOONAN	13,286	12,608	94.90%	1,842	2,711
GRAF	13,301	12,601	94.74%	1,843	2,710
BOCK	13,382	12,596	94.13%	1,844	2,691
CHAVEZ	250,898	12,595	5.02%	1,845	83
WHITING	16,418	12,589	76.68%	1,846	2,221
MCCARTNEY	13,615	12,588	92.46%	1,847	2,645
HUMPHREYS	13,895	12,579	90.53%	1,848	2,593
HOLM	13,341	12,575	94.26%	1,849	2,701
HERRMANN	13,226	12,575	95.08%	1,850	2,723
RINEHART	13,392	12,572	93.88%	1,851	2,688
KAHN	14,584	12,552	86.07%	1,852	2,473
ISAACS	14,951	12,548	83.93%	1,853	2,422
ELLSWORTH	13,813	12,544	90.81%	1,854	2,611
BREEN	14,170	12,536	88.47%	1,855	2,549
BOUCHARD	13,154	12,531	95.26%	1,856	2,739
LOVETT	19,471	12,528	64.34%	1,857	1,842
LEARY	15,505	12,526	80.79%	1,858	2,351
CHAMPION	17,527	12,525	71.46%	1,859	2,058
WAHL	13,253	12,524	94.50%	1,860	2,716
GILLILAND	13,351	12,510	93.70%	1,861	2,698
RHOADS	13,389	12,505	93.40%	1,862	2,690
FOUNTAIN	20,193	12,501	61.91%	1,863	1,774
GIVENS	25,067	12,496	49.85%	1,864	1,419
MCNULTY	13,483	12,479	92.55%	1,865	2,674
VITALE	13,220	12,478	94.39%	1,866	2,725
PRUETT	13,618	12,475	91.61%	1,867	2,644
SQUIRES	14,045	12,472	88.80%	1,868	2,574
BACHMAN	13,057	12,421	95.13%	1,869	2,763
TITUS	15,780	12,411	78.65%	1,870	2,314
SHIPMAN	15,581	12,399	79.58%	1,871	2,339
EPSTEIN	12,952	12,398	95.72%	1,872	2,786
DAMICO	13,109	12,396	94.56%	1,873	2,752
GRAFF	13,058	12,391	94.89%	1,874	2,762
RUTH	15,012	12,391	82.54%	1,875	2,414
STAPLES	17,217	12,389	71.96%	1,876	2,104
STEWARD	22,318	12,384	55.49%	1,877	1,610
SMILEY	19,829	12,383	62.45%	1,878	1,812
MINTON	13,737	12,381	90.13%	1,879	2,626
EMMONS	13,493	12,374	91.71%	1,880	2,673
BORDEN	15,500	12,371	79.81%	1,881	2,352
STCLAIR	14,590	12,362	84.73%	1,882	2,469
BLANK	13,050	12,361	94.72%	1,883	2,765
KEENER	13,687	12,351	90.24%	1,884	2,633
LINCOLN	16,477	12,341	74.90%	1,885	2,209
MCCAIN	19,032	12,333	64.80%	1,886	1,888
HERRINGTON	14,498	12,328	85.03%	1,887	2,491
BALES	13,326	12,325	92.49%	1,888	2,704
POLK	27,094	12,322	45.48%	1,889	1,296
RUIZ	238,234	12,317	5.17%	1,890	89
WESTFALL	13,079	12,316	94.17%	1,891	2,758
HITCHCOCK	13,608	12,314	90.49%	1,892	2,646
FUCHS	12,958	12,314	95.03%	1,893	2,784
STRANGE	14,948	12,311	82.36%	1,894	2,425
BURNETTE	16,717	12,307	73.62%	1,895	2,172
DOUGLASS	14,862	12,295	82.73%	1,896	2,438
WILLEY	13,067	12,292	94.07%	1,897	2,759
TROTTER	19,927	12,291	61.68%	1,898	1,801
HOPE	17,562	12,288	69.97%	1,899	2,052
KINSEY	16,102	12,287	76.31%	1,900	2,258
LEAVITT	13,133	12,283	93.53%	1,901	2,743
SHANK	13,343	12,272	91.97%	1,902	2,700
CRUMP	20,737	12,258	59.11%	1,903	1,727
LUTHER	13,906	12,255	88.13%	1,904	2,589
DENNISON	14,629	12,250	83.74%	1,905	2,465
CHENEY	13,573	12,239	90.17%	1,906	2,655
STALLINGS	17,269	12,237	70.86%	1,907	2,093
CONDON	13,109	12,235	93.33%	1,908	2,752
BOLES	14,946	12,220	81.76%	1,909	2,426
PENDLETON	16,751	12,218	72.94%	1,910	2,168
MCNEILL	19,152	12,215	63.78%	1,911	1,875
BAIL	14,957	12,215	81.67%	1,912	2,421
SEAMAN	13,237	12,214	92.27%	1,913	2,719
ROWAN	13,993	12,210	87.26%	1,914	2,581
EBERT	12,830	12,205	95.13%	1,915	2,809
WHITTEN	14,054	12,197	86.79%	1,916	2,571
BELANGER	12,922	12,197	94.39%	1,917	2,793
WISNIEWSKI	12,675	12,196	96.22%	1,918	2,846
BUSBY	15,754	12,165	77.22%	1,919	2,320
SHELLEY	14,300	12,158	85.02%	1,920	2,533
KELSEY	14,456	12,157	84.10%	1,921	2,501
CHRISTY	13,750	12,156	88.41%	1,922	2,621
KNOTT	14,622	12,155	83.13%	1,923	2,466
RUCKER	26,581	12,150	45.71%	1,924	1,326
STAMPER	13,528	12,149	89.81%	1,925	2,666
KITCHEN	15,170	12,141	80.03%	1,926	2,390
NICKERSON	15,970	12,140	76.02%	1,927	2,283
TRAHAN	14,114	12,130	85.94%	1,928	2,560
JERNIGAN	15,889	12,122	76.29%	1,929	2,294
ALVAREZ	233,983	12,120	5.18%	1,930	92
SCHELL	13,016	12,120	93.12%	1,931	2,773
STEINBERG	12,709	12,114	95.32%	1,932	2,841
UPTON	13,769	12,111	87.96%	1,933	2,616
HOOK	13,437	12,109	90.12%	1,934	2,680
REICH	12,891	12,098	93.85%	1,935	2,796
CROOK	14,526	12,097	83.28%	1,936	2,484
FAIR	18,609	12,094	64.99%	1,937	1,942
WENDT	12,712	12,093	95.13%	1,938	2,838
BEAVERS	15,531	12,088	77.83%	1,939	2,348
CARON	12,810	12,086	94.35%	1,940	2,817
SEITZ	12,630	12,083	95.67%	1,941	2,855
STOCK	12,722	12,074	94.91%	1,942	2,832
DEVLIN	13,014	12,061	92.68%	1,943	2,774
DOWD	13,590	12,054	88.70%	1,944	2,651
TRIPLETT	18,408	12,044	65.43%	1,945	1,965
KENYON	12,891	12,041	93.41%	1,946	2,796
TEMPLETON	13,396	12,022	89.74%	1,947	2,687
RECTOR	13,559	12,000	88.50%	1,948	2,661
HOUCK	12,634	12,000	94.98%	1,949	2,854
BEARDEN	13,499	11,998	88.88%	1,950	2,670
BRANHAM	13,872	11,995	86.47%	1,951	2,599
JARRELL	13,562	11,994	88.44%	1,952	2,660
MORENO	196,925	11,993	6.09%	1,953	124
ROBB	13,402	11,989	89.46%	1,954	2,686
REES	12,754	11,976	93.90%	1,955	2,828
GARBER	12,640	11,976	94.75%	1,956	2,850
DANIELSON	12,833	11,967	93.25%	1,957	2,808
SNODGRASS	12,806	11,965	93.43%	1,958	2,818
GANN	12,972	11,956	92.17%	1,959	2,780
SAMS	16,014	11,956	74.66%	1,960	2,275
WATT	15,211	11,948	78.55%	1,961	2,387
MCCLELLAND	14,092	11,937	84.71%	1,962	2,564
MESSINA	12,717	11,932	93.83%	1,963	2,833
FINNEY	16,939	11,927	70.41%	1,964	2,139
BARONE	12,758	11,925	93.47%	1,965	2,826
FARRAR	14,892	11,921	80.05%	1,966	2,434
SALISBURY	13,038	11,918	91.41%	1,967	2,768
DENNEY	12,792	11,911	93.11%	1,968	2,821
PRATHER	15,860	11,901	75.04%	1,969	2,298
GIRARD	12,975	11,899	91.71%	1,970	2,778
PACHECO	77,642	11,895	15.32%	1,971	419
PICKERING	13,582	11,892	87.56%	1,972	2,653
ASHER	13,371	11,891	88.93%	1,973	2,695
ADCOCK	12,599	11,887	94.35%	1,974	2,861
SCHUBERT	12,629	11,861	93.92%	1,975	2,856
GRABER	12,204	11,857	97.16%	1,976	2,937
HEIN	12,586	11,853	94.18%	1,977	2,865
BURROUGHS	17,336	11,853	68.37%	1,978	2,087
JOLLY	15,827	11,839	74.80%	1,979	2,306
CURRIE	17,234	11,835	68.67%	1,980	2,100
PEASE	12,937	11,826	91.41%	1,981	2,790
VICK	14,421	11,819	81.96%	1,982	2,511
TROUT	12,758	11,816	92.62%	1,983	2,826
BOLIN	12,962	11,815	91.15%	1,984	2,783
CLEVENGER	12,428	11,804	94.98%	1,985	2,889
BOLLINGER	12,425	11,803	94.99%	1,986	2,891
JAEGER	12,436	11,801	94.89%	1,987	2,887
NORWOOD	22,461	11,799	52.53%	1,988	1,596
WAKEFIELD	14,587	11,797	80.87%	1,989	2,472
WILES	13,105	11,791	89.97%	1,990	2,754
WILLETT	13,065	11,782	90.18%	1,991	2,761
PARISH	14,466	11,770	81.36%	1,992	2,498
BOURGEOIS	13,325	11,769	88.32%	1,993	2,705
WINSLOW	14,056	11,766	83.71%	1,994	2,570
RUDD	14,732	11,761	79.83%	1,995	2,451
WHIPPLE	13,850	11,752	84.85%	1,996	2,602
MAIN	12,776	11,746	91.94%	1,997	2,824
DRUMMOND	17,922	11,739	65.50%	1,998	2,014
AMATO	12,713	11,718	92.17%	1,999	2,837
COBURN	13,741	11,709	85.21%	2,000	2,625
HOOKER	16,646	11,697	70.27%	2,001	2,185
ARRINGTON	22,840	11,696	51.21%	2,002	1,573
SATTERFIELD	14,023	11,691	83.37%	2,003	2,577
BRUBAKER	12,218	11,679	95.59%	2,004	2,934
HOBSON	17,043	11,678	68.52%	2,005	2,128
DOWELL	15,320	11,678	76.23%	2,006	2,377
RUSS	16,300	11,676	71.63%	2,007	2,237
COATS	15,943	11,669	73.19%	2,008	2,286
DARBY	18,757	11,661	62.17%	2,009	1,921
FORRESTER	13,878	11,659	84.01%	2,010	2,596
WELDON	14,538	11,645	80.10%	2,011	2,481
LONGO	12,594	11,639	92.42%	2,012	2,864
NEWBERRY	13,482	11,623	86.21%	2,013	2,675
BRADEN	13,603	11,618	85.41%	2,014	2,648
MARTINO	13,128	11,617	88.49%	2,015	2,746
CARRIER	13,377	11,615	86.83%	2,016	2,692
EARL	16,027	11,596	72.35%	2,017	2,270
FARNSWORTH	12,203	11,589	94.97%	2,018	2,939
LANTZ	12,169	11,581	95.17%	2,019	2,949
MILLARD	12,843	11,575	90.13%	2,020	2,805
COONEY	12,455	11,564	92.85%	2,021	2,883
ELY	13,130	11,562	88.06%	2,022	2,745
HEARN	15,234	11,560	75.88%	2,023	2,385
PARROTT	13,753	11,555	84.02%	2,024	2,620
HERRICK	12,202	11,543	94.60%	2,025	2,940
SPEAR	13,284	11,542	86.89%	2,026	2,712
MIRANDA	93,628	11,535	12.32%	2,027	330
HASKINS	16,842	11,523	68.42%	2,028	2,154
MARKHAM	13,137	11,522	87.71%	2,029	2,741
CASPER	12,351	11,504	93.14%	2,030	2,905
DICKENS	18,123	11,501	63.46%	2,031	1,990
FERRARO	12,355	11,501	93.09%	2,032	2,903
STOREY	13,669	11,498	84.12%	2,033	2,635
KILLIAN	12,717	11,497	90.41%	2,034	2,833
COY	13,875	11,487	82.79%	2,035	2,597
MARLOW	13,205	11,484	86.97%	2,036	2,728
LINN	12,508	11,484	91.81%	2,037	2,876
PENCE	12,101	11,483	94.89%	2,038	2,965
FRANTZ	12,079	11,467	94.93%	2,039	2,969
WILL	12,575	11,463	91.16%	2,040	2,869
GEARY	12,382	11,455	92.51%	2,041	2,895
LINDER	13,830	11,451	82.80%	2,042	2,607
WHITMORE	15,296	11,435	74.76%	2,043	2,380
SLONE	12,142	11,430	94.14%	2,044	2,956
BURLESON	13,176	11,416	86.64%	2,045	2,734
NYE	12,167	11,411	93.79%	2,046	2,952
CLANCY	12,556	11,402	90.81%	2,047	2,871
MCQUEEN	19,760	11,394	57.66%	2,048	1,814
MATSON	12,320	11,378	92.35%	2,049	2,911
CULP	13,081	11,349	86.76%	2,050	2,756
CASTILLO	230,420	11,337	4.92%	2,051	93
RUST	12,086	11,335	93.79%	2,052	2,967
BURRELL	24,504	11,328	46.23%	2,053	1,458
WAY	14,157	11,328	80.02%	2,054	2,552
LANCE	13,122	11,326	86.31%	2,055	2,747
HARP	13,646	11,325	82.99%	2,056	2,638
HAMRICK	12,168	11,325	93.07%	2,057	2,950
NADEAU	12,236	11,324	92.55%	2,058	2,929
DUGGAN	12,237	11,312	92.44%	2,059	2,928
STOLL	12,032	11,310	94.00%	2,060	2,979
KILPATRICK	14,087	11,308	80.27%	2,061	2,565
NUNN	16,769	11,307	67.43%	2,062	2,164
FALK	11,979	11,300	94.33%	2,063	2,991
CROFT	13,047	11,299	86.60%	2,064	2,766
CYR	11,829	11,290	95.44%	2,065	3,029
CHRISTIANSON	11,951	11,275	94.34%	2,066	3,001
DYKES	13,874	11,257	81.14%	2,067	2,598
STOCKTON	13,306	11,252	84.56%	2,068	2,709
COTTER	11,904	11,252	94.52%	2,069	3,010
ORLANDO	12,586	11,251	89.39%	2,070	2,865
SCHOFIELD	12,790	11,249	87.95%	2,071	2,822
BURKHOLDER	11,532	11,249	97.55%	2,072	3,128
HAM	16,980	11,244	66.22%	2,073	2,133
DEWEY	12,249	11,227	91.66%	2,074	2,926
SISK	12,365	11,224	90.77%	2,075	2,901
AKINS	17,868	11,223	62.81%	2,076	2,020
BRINK	11,982	11,221	93.65%	2,077	2,989
REINHARDT	12,057	11,220	93.06%	2,078	2,973
GOODSON	15,820	11,208	70.85%	2,079	2,308
PARNELL	14,560	11,202	76.94%	2,080	2,475
ROCKWELL	12,360	11,199	90.61%	2,081	2,902
BARROW	16,801	11,195	66.63%	2,082	2,159
POOL	13,505	11,194	82.89%	2,083	2,669
JAMESON	13,255	11,179	84.34%	2,084	2,715
RUFF	15,383	11,177	72.66%	2,085	2,369
MASTERSON	12,117	11,171	92.19%	2,086	2,961
HALVERSON	11,781	11,160	94.73%	2,087	3,040
FALLON	11,974	11,149	93.11%	2,088	2,994
RALSTON	12,302	11,146	90.60%	2,089	2,914
FINNEGAN	11,695	11,136	95.22%	2,090	3,068
DOVE	14,560	11,124	76.40%	2,091	2,475
HAYWARD	15,665	11,121	70.99%	2,092	2,327
GILLETTE	12,724	11,117	87.37%	2,093	2,831
GILMAN	11,946	11,112	93.02%	2,094	3,003
JULIAN	15,520	11,111	71.59%	2,095	2,349
OLDHAM	12,928	11,097	85.84%	2,096	2,792
SLACK	13,377	11,096	82.95%	2,097	2,692
STACK	11,967	11,093	92.70%	2,098	2,996
OREILLY	12,074	11,091	91.86%	2,099	2,970
OSULLIVAN	11,818	11,089	93.83%	2,100	3,032
KOLB	11,705	11,083	94.69%	2,101	3,064
DRIVER	15,442	11,077	71.73%	2,102	2,361
SCANLON	11,610	11,077	95.41%	2,103	3,101
SHERRILL	13,631	11,070	81.21%	2,104	2,640
LEWANDOWSKI	11,577	11,066	95.59%	2,105	3,110
FRANCO	69,943	11,065	15.82%	2,106	476
MARX	11,716	11,063	94.43%	2,107	3,062
LYTLE	12,970	11,060	85.27%	2,108	2,781
CHRISTMAN	11,987	11,060	92.27%	2,109	2,988
KEYES	18,252	11,042	60.50%	2,110	1,979
SOMMER	11,662	11,040	94.67%	2,111	3,080
REDDING	15,767	11,037	70.00%	2,112	2,317
LUSK	12,847	11,036	85.90%	2,113	2,803
HARLOW	11,726	11,031	94.07%	2,114	3,060
HILDEBRAND	11,687	11,020	94.29%	2,115	3,072
CORNWELL	12,168	10,991	90.33%	2,116	2,950
COYNE	11,525	10,990	95.36%	2,117	3,130
STEFFEN	11,494	10,986	95.58%	2,118	3,144
SOMMERS	11,706	10,983	93.82%	2,119	3,063
ROUSH	11,386	10,981	96.44%	2,120	3,173
THIBODEAUX	13,850	10,973	79.23%	2,121	2,602
BENNER	11,612	10,962	94.40%	2,122	3,100
MACE	12,222	10,959	89.67%	2,123	2,933
MALLORY	17,578	10,958	62.34%	2,124	2,048
BLUE	24,341	10,956	45.01%	2,125	1,466
BAGGETT	12,717	10,953	86.13%	2,126	2,833
KRIEGER	11,521	10,950	95.04%	2,127	3,133
APPLEGATE	11,762	10,943	93.04%	2,128	3,046
FERNANDES	18,018	10,935	60.69%	2,129	2,007
LOONEY	12,910	10,932	84.68%	2,130	2,795
LAUER	11,414	10,925	95.72%	2,131	3,161
WENZEL	11,432	10,916	95.49%	2,132	3,159
HAVENS	11,699	10,913	93.28%	2,133	3,066
FRALEY	11,876	10,908	91.85%	2,134	3,020
CHURCHILL	12,235	10,903	89.11%	2,135	2,930
BAIR	11,740	10,892	92.78%	2,136	3,052
MANUEL	27,529	10,890	39.56%	2,137	1,277
BAUMGARTNER	11,448	10,890	95.13%	2,138	3,156
JANSSEN	11,423	10,890	95.33%	2,139	3,160
SCHMID	11,400	10,884	95.47%	2,140	3,165
CANFIELD	11,560	10,880	94.12%	2,141	3,117
MIZE	11,908	10,871	91.29%	2,142	3,008
THRASHER	12,836	10,868	84.67%	2,143	2,807
RUPP	11,399	10,864	95.31%	2,144	3,167
MCKINNON	15,450	10,860	70.29%	2,145	2,359
LYLE	13,192	10,856	82.29%	2,146	2,731
LEVESQUE	11,490	10,848	94.41%	2,147	3,146
CORRIGAN	11,396	10,838	95.10%	2,148	3,168
TOLBERT	24,375	10,830	44.43%	2,149	1,464
CALLAWAY	13,819	10,824	78.33%	2,150	2,610
REIS	12,165	10,820	88.94%	2,151	2,953
CECIL	11,941	10,813	90.55%	2,152	3,004
NIELSON	11,511	10,807	93.88%	2,153	3,137
WHELAN	11,363	10,803	95.07%	2,154	3,181
HERR	11,980	10,792	90.08%	2,155	2,990
SPEER	11,770	10,786	91.64%	2,156	3,041
EPPERSON	12,884	10,780	83.67%	2,157	2,798
FRANZ	11,462	10,779	94.04%	2,158	3,153
ANGEL	24,895	10,777	43.29%	2,159	1,428
MANCINI	11,382	10,776	94.68%	2,160	3,175
VASQUEZ	212,781	10,767	5.06%	2,161	113
FORTNER	11,951	10,748	89.93%	2,162	3,001
AARON	16,276	10,745	66.02%	2,163	2,241
MOULTON	12,104	10,741	88.74%	2,164	2,963
RICCI	11,534	10,729	93.02%	2,165	3,127
MEDINA	188,497	10,725	5.69%	2,166	133
REA	14,819	10,720	72.34%	2,167	2,443
GAVIN	14,061	10,714	76.20%	2,168	2,569
BOWSER	14,383	10,707	74.44%	2,169	2,517
FOUST	12,366	10,706	86.58%	2,170	2,900
LINDQUIST	11,337	10,702	94.40%	2,171	3,189
DOBBINS	15,076	10,701	70.98%	2,172	2,407
KOPP	11,175	10,694	95.70%	2,173	3,232
ALVES	13,882	10,688	76.99%	2,174	2,595
PINTO	21,366	10,685	50.01%	2,175	1,687
RAINS	11,737	10,685	91.04%	2,176	3,055
STEEN	12,989	10,672	82.16%	2,177	2,776
HERZOG	11,146	10,672	95.75%	2,178	3,239
BOLAND	11,631	10,666	91.70%	2,179	3,092
EAST	12,684	10,656	84.01%	2,180	2,843
FINE	11,618	10,655	91.71%	2,181	3,097
KIMBLE	18,040	10,647	59.02%	2,182	2,003
GAFFNEY	12,805	10,636	83.06%	2,183	2,819
REDMAN	13,028	10,632	81.61%	2,184	2,770
ZIELINSKI	11,087	10,624	95.82%	2,185	3,256
PAULSEN	11,243	10,619	94.45%	2,186	3,211
KEANE	11,459	10,618	92.66%	2,187	3,154
CLINTON	16,263	10,616	65.28%	2,188	2,242
KREBS	11,067	10,607	95.84%	2,189	3,260
WHEATLEY	12,520	10,603	84.69%	2,190	2,875
BRUNS	11,158	10,601	95.01%	2,191	3,234
KIEFER	11,141	10,592	95.07%	2,192	3,240
